SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
5202,Walmart 5lb Red (NuPlastiq),15359,240000,0.22,292800,34.5,3,11.5,1,11,19.875,0,2,0,41.75,18.86416608,230000,4527.39986,2053.615105,280600,5523.427829,2505.410428,Bag Film-General-BioResin,1.18
5203,Ocean Mist Hearts 3ct/22oz Bilingual,15376,750000,0.25,937500,30.5,3,10.16666667,1,10,14,0,0,1.75,31.5,15.9949056,635416.6667,11996.1792,5441.431191,794270.8333,14995.224,6801.788988,"L/LDPE Bag Film-Zip, clear",1.5
5204,"UPC 13"" Lettuce",15344,2000000,0.18,2360000,26.5,2,13.25,2,13,8.5,6,1.5,0,24.5,9.728049146,1104166.667,19456.09829,8825.228292,1302916.667,22958.19598,10413.76938,"L/LDPE Bag Film - LC, clear",0.9
5205,"Ocean Mist 13"" Lettuce Bilingual",15345,5000000,0.15,5750000,26.5,2,13.25,2,13,8.5,6,1.5,0,24.5,9.728049146,2760416.667,48640.24573,22063.07073,3174479.167,55936.28259,25372.53134,"L/LDPE Bag Film - LC, clear",0.9
5206,Ocean Mist Green Onions 5.5oz.,15416,250000,0.25,312500,28.75,5,5.75,1,5.5,15,0,0.25,0,30.25,8.397741651,119791.6667,2099.435413,952.2976561,149739.5833,2624.294266,1190.37207,"Bag Film - General, clear",1.45
5207,Ocean Mist Romaine Hearts 3ct Bilingual Organic,15381,500000,0.2,600000,30.5,3,10.16666667,2,10,14,0,0.25,0,28.25,13.86648298,211805.5556,6933.24149,3144.897709,254166.6667,8319.889788,3773.877251,"L/LDPE Bag Film - General, clear",1.45
5208,Walmart 3lb Honeycrisp (Biologiq),15352,320000,0.22,390400,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,271111.1111,4409.922419,2000.327687,330755.5556,5380.105351,2440.399778,Bag Film-General-BioResin,1.18
5209,"Walmart 3lb Gala (10"" - NuPlastiq)",15353,240000,0.22,292800,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,203333.3333,3307.441814,1500.245765,248066.6667,4035.079013,1830.299834,Bag Film-General-BioResin,1.18
5210,"Walmart 3lb Granny (10"" - NuPlastiq)",15356,320000,0.22,390400,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,271111.1111,4409.922419,2000.327687,330755.5556,5380.105351,2440.399778,Bag Film-General-BioResin,1.18
5211,"Walmart 3lb Fuji (10"" - NuPlastiq)",15354,80000,0.25,100000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,67777.77778,1102.480605,500.0819217,84722.22222,1378.100756,625.1024022,Bag Film-General-BioResin,1.18
